gaia_source_id,hyg_id,constellation
6.003877922019256e+18,119613,Phe
2.0216693199061207e+18,117899,Peg
5.408454923460694e+18,117887,Phe
2.0216759856954995e+18,117899,Peg
5.408425855121185e+18,117887,Phe
6.00386390324563e+18,119613,Phe
2.047242860845677e+18,117948,And
1.872312034012521e+18,117929,And
4.150365780187898e+18,117879,Cet
4.4642427503911875e+18,117950,Peg
6.680582764323853e+18,117923,Phe
4.464132902306909e+18,117861,Peg
4.4640012357893417e+18,117950,Peg
5.781831961101173e+18,117877,Tuc
4.464038172508287e+18,117861,Peg
4.4641322838315274e+18,117861,Peg
6.680781363611587e+18,117944,Scl
5.781821928057441e+18,117877,Tuc
4.464180731062907e+18,117861,Peg
6.680612584280543e+18,117923,Phe
6.680796202723016e+18,117944,Scl
4.4642428191106647e+18,117950,Peg
5.781851958469444e+18,117877,Tuc
6.680786311414012e+18,117944,Scl
4.464154308423868e+18,117861,Peg
4.464242716031449e+18,117950,Peg
4.46421694622751e+18,117950,Peg
5.781835087837413e+18,117877,Tuc
4.464218698574173e+18,117950,Peg
4.4641244798737587e+18,117861,Peg
6.680701610361891e+18,117944,Scl
6.680799398178793e+18,117944,Scl
4.650807230565145e+18,117822,Tuc
5.78182739125597e+18,117877,Tuc
6.725826808853637e+18,117944,Scl
6.725821586159795e+18,117944,Scl
4.464047449637586e+18,117861,Peg
5.800597841473875e+18,117954,Tuc
4.650816920023848e+18,117877,Tuc
6.725831378698123e+18,117944,Scl
5.78181474687212e+18,117877,Tuc
5.78184879737338e+18,117877,Tuc
5.942439514393781e+18,119613,Phe
6.725816569650694e+18,117944,Scl
6.680741987351405e+18,117944,Scl
5.408448532549595e+18,117887,Phe
1.8723059179790172e+18,117929,And
1.8722941712579062e+18,117929,And
5.408458801807641e+18,117887,Phe
2.065079860009785e+18,117901,And
4.150357950512083e+18,117879,Cet
5.833493580141988e+18,117878,Tuc
2.0650894807361254e+18,117901,And
4.1503720336675236e+18,117879,Cet
2.06510669496521e+18,117901,And
5.83350213571768e+18,117878,Tuc
2.021666914724139e+18,117899,Peg
2.0472312472531364e+18,117948,And
1.8722895670532756e+18,117929,And
2.0472325185634552e+18,117948,And
5.408447639196401e+18,117887,Phe
1.8723029673516163e+18,117929,And
2.0472197711004572e+18,117948,And
2.0216692855463818e+18,117899,Peg
5.408458565592842e+18,117887,Phe
5.408458737391534e+18,117887,Phe
5.83350217007742e+18,117878,Tuc
2.0650884155842028e+18,117901,And
6.680742537107218e+18,117944,Scl
5.942440403411991e+18,119613,Phe
4.464044494700086e+18,117861,Peg
4.464177432528021e+18,117861,Peg
6.680753669662454e+18,117944,Scl
6.680720512515022e+18,117944,Scl
4.464005084080047e+18,117950,Peg
5.7818466327096e+18,117877,Tuc
6.680754253778006e+18,117944,Scl
5.942424288689916e+18,119613,Phe
5.800586159162469e+18,117954,Tuc
4.4640902919346447e+18,117861,Peg
4.464218389336519e+18,117950,Peg
4.464243746823595e+18,117950,Peg
4.4640962061063823e+18,117861,Peg
4.4640454911325015e+18,117861,Peg
5.800591794159754e+18,117954,Tuc
4.464096343545336e+18,117861,Peg
4.4641280532865464e+18,117861,Peg
6.680684842809573e+18,117944,Scl
5.94243491018884e+18,119613,Phe
5.942433084784609e+18,119613,Phe
6.725829110955384e+18,117944,Scl
5.781832854454377e+18,117877,Tuc
5.942445183751005e+18,119613,Phe
6.725808117153935e+18,117944,Scl
6.680674092508257e+18,117923,Phe
5.781822374734051e+18,117877,Tuc
5.781839073567019e+18,117877,Tuc
4.464047724515496e+18,117861,Peg
5.781871749678705e+18,117877,Tuc
5.781896454331121e+18,117877,Tuc
6.680778168155912e+18,117944,Scl
5.781850103043549e+18,117877,Tuc
6.680700201612621e+18,117944,Scl
2.0472308692959608e+18,117948,And
1.8723035471570703e+18,117929,And
5.408451384407729e+18,117887,Phe
2.0472301477414548e+18,117948,And
2.065079138455278e+18,117901,And
2.0651073478002724e+18,117901,And
1.8722894983337987e+18,117929,And
5.408458359434409e+18,117887,Phe
2.065106862458726e+18,117901,And
1.8723039637841782e+18,117929,And
1.8723269504494085e+18,117929,And
1.8722921783932186e+18,117929,And
5.408474783390522e+18,117887,Phe
1.872301004536464e+18,117929,And
1.8723273627662692e+18,117929,And
2.0650788979370767e+18,117901,And
5.408428432101564e+18,117887,Phe
2.047223585030959e+18,117948,And
5.833504094222828e+18,117878,Tuc
2.0216650592982354e+18,117899,Peg
5.408462482595658e+18,117887,Phe
2.0472107344887506e+18,117948,And
4.4640478619544494e+18,117861,Peg
4.4642438499028106e+18,117950,Peg
6.680589189594932e+18,117923,Phe
6.725816397852015e+18,117944,Scl
6.680682785522119e+18,117923,Phe
6.680675157660145e+18,117923,Phe
6.725816604010446e+18,117944,Scl
4.464016319714497e+18,117861,Peg
4.464103833968289e+18,117861,Peg
4.464037004277181e+18,117861,Peg
5.836225209346652e+18,117881,Phe
4.65080362279267e+18,117822,Tuc
5.781872986629287e+18,117877,Tuc
5.836222464970854e+18,117881,Phe
4.464101600585296e+18,117861,Peg
4.464107991496646e+18,117861,Peg
4.464223715095955e+18,117950,Peg
4.464016182275544e+18,117861,Peg
5.836222533690331e+18,117881,Phe
6.680675192019883e+18,117923,Phe
5.800602686199803e+18,117954,Tuc
5.781898687714145e+18,117877,Tuc
4.4641657502169743e+18,117861,Peg
4.65081228145929e+18,117877,Tuc
4.4640963091855964e+18,117861,Peg
6.680672202722644e+18,117923,Phe
5.836218204362735e+18,117881,Phe
4.464005462037176e+18,117950,Peg
5.78181825156547e+18,117877,Tuc
5.781873227147457e+18,117877,Tuc
6.680592728647986e+18,117923,Phe
5.833506739922854e+18,117878,Tuc
